type	abstr_utt	abstr_da	utt	da
confirm-request	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	id like to find a *VEHICLE connection please	"inform(vehicle=""*VEHICLE"")"	id like to find a bus connection please	vehicle=bus
reply	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Grand Central to the	from_stop=Grand Central, direction=Washington Square, departure_time=7:17am, line=M79, vehicle=bus
apologize	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Bowery to the	*=notfound, from_stop=Bowery
request	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Grand Street to the	to_stop=?
confirm-request	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Houston Street to the	confirm: from_stop=Houston Street; request: to_stop=?
confirm	i'd like it from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like it from Houston Street to the	from_stop=Houston Street
reply	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at four pm	vehicle=bus, from_stop=Park Place, direction=Inwood, departure_time=4:04pm, line=M35
apologize	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at ten pm	*=notfound, departure_time=10:00, ampm=pm
request	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at eight pm	from_stop=?, to_stop=?
confirm-request	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at eleven am	confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?
confirm	i'd like to find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'd like to find out connection at eleven am	departure_time=11:00, ampm=am
reply	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Bowling Green to the	departure_time=7:04pm, vehicle=bus, direction=Inwood, from_stop=Bowling Green, line=M101
apologize	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Essex Street to the	*=notfound, from_stop=Essex Street
request	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Prince Street to the	to_stop=?
confirm-request	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Times Square to the	confirm: from_stop=Times Square; request: to_stop=?
confirm	i'd like to go from *STOP to the	"inform(from_stop=""*STOP"")"	i'd like to go from Times Square to the	from_stop=Times Square
reply	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	subway line	line=4, vehicle=subway, from_stop=Roosevelt Island, departure_time=2:02pm, direction=Rector Street
apologize	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	subway line	*=notfound, vehicle=subway
request	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	subway line	from_stop=?, to_stop=?
confirm-request	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	*VEHICLE line	"inform(vehicle=""*VEHICLE"")"	bus line	vehicle=bus
reply	how long does it take how much	request(duration)	how long does it take how much	duration=19 minutes
reply	how long does it take	request(duration)	how long does it take	duration=19 minutes
reply	how long does it take to ride	request(duration)	how long does it take to ride	duration=62 minutes
reply	how long for travel	request(duration)	how long for travel	duration=71 minutes
reply	how long is it going to take	request(duration)	how long is it going to take	duration=68 minutes
reply	how long is it how many transfers and what is the distance of	request(num_transfers)&request(distance)	how long is it how many transfers and what is the distance of	distance=6.1 miles, num_transfers=1
reply	how long is it	request(distance)	how long is it	distance=4.6 miles
reply	how long is that trip	request(duration)&request(distance)	how long is that trip	distance=5.8 miles, duration=71 minutes
reply	how long is the duration of this trip	request(duration)	how long is the duration of this trip	duration=45 minutes
reply	how long is the duration	request(duration)	how long is the duration	duration=40 minutes
reply	how long is the ride	request(distance)	how long is the ride	distance=10.4 miles
reply	how long is the trip	request(duration)&request(distance)	how long is the trip	distance=2.9 miles, duration=23 minutes
reply	how long will i be traveling	request(distance)	how long will i be traveling	distance=4.7 miles
reply	how long will it take	request(duration)	how long will it take	duration=53 minutes
reply	how long will it take to go from *STOP to *STOP by *VEHICLE	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)"	how long will it take to go from Central Park to Washington Square by bus	duration=12 minutes
confirm-reply	how long will it take to go from *STOP to *STOP by *VEHICLE	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)"	how long will it take to go from Marble Hill to Bowling Green by bus	confirm: from_stop=Marble Hill, to_stop=Bowling Green, vehicle=bus; reply: duration=12 minutes
confirm	how long will it take to go from *STOP to *STOP by *VEHICLE	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")&request(duration)"	how long will it take to go from Marble Hill to Bowling Green by bus	from_stop=Marble Hill, to_stop=Bowling Green, vehicle=bus
reply	how long will that take	request(duration)	how long will that take	duration=65 minutes
reply	how long will the trip take	request(duration)	how long will the trip take	duration=10 minutes
reply	how long would it take	request(duration)	how long would it take	duration=61 minutes
reply	i'm looking for a *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'm looking for a five pm connection	departure_time=5:05pm, direction=Park Place, from_stop=Wall Street, vehicle=bus, line=M4
apologize	i'm looking for a *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'm looking for a one pm connection	*=notfound, departure_time=1:00, ampm=pm
request	i'm looking for a *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'm looking for a eleven am connection	from_stop=?, to_stop=?
confirm-request	i'm looking for a *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'm looking for a ten am connection	confirm: departure_time=10:00, ampm=am; request: from_stop=?, to_stop=?
confirm	i'm looking for a *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	i'm looking for a ten am connection	departure_time=10:00, ampm=am
reply	how many transfers and distance of this trip	request(num_transfers)&request(distance)	how many transfers and distance of this trip	distance=8.7 miles, num_transfers=0
reply	how many transfers and the distance of this trip	request(num_transfers)&request(distance)	how many transfers and the distance of this trip	distance=3.0 miles, num_transfers=1
reply	how many transfers and what is the distance of the trip	request(num_transfers)&request(distance)	how many transfers and what is the distance of the trip	distance=11.2 miles, num_transfers=2
reply	how many transfers are there	request(num_transfers)	how many transfers are there	num_transfers=2
reply	how many transfers	request(num_transfers)	how many transfers	num_transfers=2
reply	how many transfers will there be	request(num_transfers)	how many transfers will there be	num_transfers=0
reply	give me a connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	give me a connection from East Broadway to Inwood	from_stop=East Broadway, line=M9, direction=Inwood, vehicle=bus, departure_time=8:18am
apologize	give me a connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	give me a connection from Cathedral Parkway to Wall Street	*=notfound, from_stop=Cathedral Parkway, to_stop=Wall Street
confirm	give me a connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	give me a connection from Times Square to Marble Hill	from_stop=Times Square, to_stop=Marble Hill
reply	give me the number of transfers	request(num_transfers)	give me the number of transfers	num_transfers=2
reply	*NUMBER minutes	"inform(departure_time=""*TIME"")"	thirty minutes	line=M102, departure_time=0:30am, from_stop=Central Park, vehicle=bus, direction=Astor Place
apologize	*NUMBER minutes	"inform(departure_time=""*TIME"")"	ten minutes	*=notfound, departure_time=0:10
request	*NUMBER minutes	"inform(departure_time=""*TIME"")"	twenty minutes	from_stop=?, to_stop=?
confirm-request	*NUMBER minutes	"inform(departure_time=""*TIME"")"	fifteen minutes	confirm: departure_time=0:15; request: from_stop=?, to_stop=?
confirm	*NUMBER minutes	"inform(departure_time=""*TIME"")"	fifteen minutes	departure_time=0:15
reply	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in fifteen minutes	vehicle=bus, line=M11, direction=Grand Street, from_stop=Inwood, departure_time=7:01am
apologize	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in thirty minutes	*=notfound, departure_time_rel=0:30
request	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in fifteen minutes	from_stop=?, to_stop=?
confirm-request	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in twenty minutes	confirm: departure_time_rel=0:20; request: from_stop=?, to_stop=?
confirm	i need a connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need a connection in twenty minutes	departure_time_rel=0:20
reply	i need a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need a bus connection from Delancey Street to Rector Street	from_stop=Delancey Street, line=M42, departure_time=9:03am, direction=Rector Street, vehicle=bus
apologize	i need a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need a subway connection from Bleecker Street to City Hall	*=notfound, from_stop=Bleecker Street, to_stop=City Hall, vehicle=subway
confirm	i need a *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need a subway connection from Port Authority Bus Terminal to Times Square	from_stop=Port Authority Bus Terminal, to_stop=Times Square, vehicle=subway
reply	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a subway connection	direction=Central Park, vehicle=subway, line=Z, from_stop=Roosevelt Island, departure_time=11:16am
apologize	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a bus connection	*=notfound, vehicle=bus
request	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a subway connection	from_stop=?, to_stop=?
confirm-request	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a bus connection	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	i need a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need a bus connection	vehicle=bus
reply	i need the distance of the trip	request(distance)	i need the distance of the trip	distance=11.4 miles
reply	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Lincoln Center queen	vehicle=subway, direction=Bryant Park, departure_time=9:11pm, from_stop=Lincoln Center, line=J
apologize	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Chambers Street queen	*=notfound, from_stop=Chambers Street
request	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Rockefeller Center queen	to_stop=?
confirm-request	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Bowling Green queen	confirm: from_stop=Bowling Green; request: to_stop=?
confirm	i need to find a connection from *STOP queen	"inform(from_stop=""*STREET"")"	i need to find a connection from Bowling Green queen	from_stop=Bowling Green
reply	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a subway connection	vehicle=subway, from_stop=Chambers Street, direction=Rockefeller Center, line=E, departure_time=7:08am
apologize	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a bus connection	*=notfound, vehicle=bus
request	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a subway connection	from_stop=?, to_stop=?
confirm-request	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a subway connection	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	i need to find a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find a subway connection	vehicle=subway
reply	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a bus connection	from_stop=Astor Place, direction=Rockefeller Center, vehicle=bus, line=M34, departure_time=7:01am
apologize	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a bus connection	*=notfound, vehicle=bus
request	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a subway connection	from_stop=?, to_stop=?
confirm-request	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a subway connection	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	i need to find out about a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	i need to find out about a subway connection	vehicle=subway
reply	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in twenty minutes	departure_time=5:13pm, line=4, vehicle=subway, from_stop=Washington Square, direction=Fulton Street
apologize	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in ten minutes	*=notfound, departure_time_rel=0:10
request	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in fifteen minutes	from_stop=?, to_stop=?
confirm-request	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in twenty minutes	confirm: departure_time_rel=0:20; request: from_stop=?, to_stop=?
confirm	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in twenty minutes	departure_time_rel=0:20
reply	i need to find the *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need to find the bus connection from Cortlandt Street to Inwood	vehicle=bus, from_stop=Cortlandt Street, line=M72, direction=Inwood, departure_time=9:15pm
apologize	i need to find the *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need to find the bus connection from Franklin Street to Columbia University	*=notfound, from_stop=Franklin Street, to_stop=Columbia University, vehicle=bus
confirm	i need to find the *VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	i need to find the subway connection from Cathedral Parkway to Dyckman Street	from_stop=Cathedral Parkway, to_stop=Dyckman Street, vehicle=subway
reply	i need to go from *STOP to *STOP and *NUMBER second	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need to go from Cortlandt Street to East Broadway and *NUMBER second	vehicle=subway, departure_time=6:01pm, line=L, direction=East Broadway, from_stop=Cortlandt Street
apologize	i need to go from *STOP to *STOP and *NUMBER second	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need to go from Prince Street to Fulton Street and *NUMBER second	*=notfound, from_stop=Prince Street, to_stop=Fulton Street
confirm	i need to go from *STOP to *STOP and *NUMBER second	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i need to go from Fulton Street to Rector Street and *NUMBER second	from_stop=Fulton Street, to_stop=Rector Street
reply	i need to know the duration of the trip and find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&request(duration)"	i need to know the duration of the trip and find out connection at twelve pm	duration=10 minutes
confirm-reply	i need to know the duration of the trip and find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&request(duration)"	i need to know the duration of the trip and find out connection at ten pm	confirm: departure_time=10:00, ampm=pm; reply: duration=10 minutes
confirm	i need to know the duration of the trip and find out connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")&request(duration)"	i need to know the duration of the trip and find out connection at ten pm	departure_time=10:00, ampm=pm
reply	i need to know the duration of the trip	request(duration)	i need to know the duration of the trip	duration=68 minutes
reply	duration number of transfers and distance	request(num_transfers)&request(distance)	duration number of transfers and distance	distance=4.4 miles, num_transfers=1
reply	at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	at three pm	departure_time=3:17pm, from_stop=Union Square, line=M101, vehicle=bus, direction=Bowery
apologize	at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	at twelve pm	*=notfound, departure_time=12:00, ampm=pm
request	at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	at nine am	from_stop=?, to_stop=?
confirm-request	at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	at six pm	confirm: departure_time=6:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	at *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")"	at six pm	departure_time=6:00, ampm=pm
reply	at *NUMBER *NUMBER	"inform(departure_time=""*TIME"")"	at nine thirty	line=M7, from_stop=City Hall, departure_time=9:30am, direction=Penn Station, vehicle=bus
apologize	at *NUMBER *NUMBER	"inform(departure_time=""*TIME"")"	at twelve thirty	*=notfound, departure_time=12:30
request	at *NUMBER *NUMBER	"inform(departure_time=""*TIME"")"	at eleven thirty	from_stop=?, to_stop=?
confirm-request	at *NUMBER *NUMBER	"inform(departure_time=""*TIME"")"	at nine thirty	confirm: departure_time=9:30; request: from_stop=?, to_stop=?
confirm	at *NUMBER *NUMBER	"inform(departure_time=""*TIME"")"	at nine thirty	departure_time=9:30
reply	in *NUMBER an hour	"inform(departure_time_rel=""*TIME_REL"")"	in half an hour	vehicle=subway, from_stop=Bryant Park, direction=Broad Street, line=1, departure_time=10:07am
apologize	in *NUMBER an hour	"inform(departure_time_rel=""*TIME_REL"")"	in half an hour	*=notfound, departure_time_rel=0:30
request	in *NUMBER an hour	"inform(departure_time_rel=""*TIME_REL"")"	in half an hour	from_stop=?, to_stop=?
confirm-request	in *NUMBER an hour	"inform(departure_time_rel=""*TIME_REL"")"	in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	in *NUMBER an hour	"inform(departure_time_rel=""*TIME_REL"")"	in half an hour	departure_time_rel=0:30
reply	in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	in ten minutes	vehicle=bus, line=M5, direction=Grand Street, departure_time=11:05am, from_stop=Rockefeller Center
apologize	in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	in fifteen minutes	*=notfound, departure_time_rel=0:15
request	in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	in thirty minutes	from_stop=?, to_stop=?
confirm-request	in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	in ten minutes	confirm: departure_time_rel=0:10; request: from_stop=?, to_stop=?
confirm	in *NUMBER minutes	"inform(departure_time_rel=""*TIME_REL"")"	in ten minutes	departure_time_rel=0:10
reply	*NUMBER o'clock	"inform(departure_time=""*TIME"")"	four o'clock	vehicle=subway, direction=Grand Street, line=6, departure_time=4:01am, from_stop=Franklin Street
apologize	*NUMBER o'clock	"inform(departure_time=""*TIME"")"	eight o'clock	*=notfound, departure_time=8:00
request	*NUMBER o'clock	"inform(departure_time=""*TIME"")"	twelve o'clock	from_stop=?, to_stop=?
confirm-request	*NUMBER o'clock	"inform(departure_time=""*TIME"")"	eight o'clock	confirm: departure_time=8:00; request: from_stop=?, to_stop=?
confirm	*NUMBER o'clock	"inform(departure_time=""*TIME"")"	eight o'clock	departure_time=8:00
reply	distance of the trip	request(distance)	distance of the trip	distance=9.9 miles
reply	distance of trip	request(distance)	distance of trip	distance=4.6 miles
reply	number of transfers and distance of the trip	request(num_transfers)&request(distance)	number of transfers and distance of the trip	distance=4.2 miles, num_transfers=1
reply	number of transfers	request(num_transfers)	number of transfers	num_transfers=2
reply	distance	request(distance)	distance	distance=3.0 miles
reply	time requirement for a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")&request(duration)"	time requirement for a subway connection	duration=35 minutes
confirm-reply	time requirement for a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")&request(duration)"	time requirement for a bus connection	confirm: vehicle=bus; reply: duration=35 minutes
confirm	time requirement for a *VEHICLE connection	"inform(vehicle=""*VEHICLE"")&request(duration)"	time requirement for a bus connection	vehicle=bus
reply	time requirement	request(duration)	time requirement	duration=73 minutes
reply	time requirements and next connection	"request(duration)&inform(alternative=""next"")"	time requirements and next connection	duration=69 minutes
confirm-reply	time requirements and next connection	"request(duration)&inform(alternative=""next"")"	time requirements and next connection	confirm: alternative=next; reply: duration=69 minutes
confirm	time requirements and next connection	"request(duration)&inform(alternative=""next"")"	time requirements and next connection	alternative=next
reply	time requirements	request(duration)	time requirements	duration=46 minutes
reply	the second option	"inform(alternative=""2"")"	the second option	line=F, vehicle=subway, direction=Houston Street, departure_time=7:10pm, from_stop=Roosevelt Island
apologize	the second option	"inform(alternative=""2"")"	the second option	*=notfound, alternative=2
confirm	the second option	"inform(alternative=""2"")"	the second option	alternative=2
reply	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Park Place to Bowling Green	vehicle=subway, departure_time=9:14am, from_stop=Park Place, line=D, direction=Bowling Green
apologize	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Franklin Street to Marble Hill	*=notfound, from_stop=Franklin Street, to_stop=Marble Hill
confirm	from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	from Grand Central to Park Place	from_stop=Grand Central, to_stop=Park Place
reply	from *STOP	"inform(from_stop=""*STREET"")"	from Houston Street	departure_time=2:07pm, from_stop=Houston Street, vehicle=bus, line=M100, direction=Herald Square
apologize	from *STOP	"inform(from_stop=""*STREET"")"	from World Trade Center	*=notfound, from_stop=World Trade Center
request	from *STOP	"inform(from_stop=""*STREET"")"	from Roosevelt Island	to_stop=?
confirm-request	from *STOP	"inform(from_stop=""*STREET"")"	from Franklin Street	confirm: from_stop=Franklin Street; request: to_stop=?
confirm	from *STOP	"inform(from_stop=""*STREET"")"	from Franklin Street	from_stop=Franklin Street
reply	to *STOP and	"inform(to_stop=""*STREET"")"	to Cathedral Parkway and	direction=Cathedral Parkway, from_stop=City Hall, vehicle=bus, departure_time=11:17am, line=M31
apologize	to *STOP and	"inform(to_stop=""*STREET"")"	to Fulton Street and	*=notfound, to_stop=Fulton Street
request	to *STOP and	"inform(to_stop=""*STREET"")"	to Bowling Green and	from_stop=?
confirm-request	to *STOP and	"inform(to_stop=""*STREET"")"	to Houston Street and	confirm: to_stop=Houston Street; request: from_stop=?
confirm	to *STOP and	"inform(to_stop=""*STREET"")"	to Houston Street and	to_stop=Houston Street
reply	to *STOP	"inform(to_stop=""*STREET"")"	to Times Square	vehicle=bus, line=M66, from_stop=City Hall, direction=Times Square, departure_time=8:10am
apologize	to *STOP	"inform(to_stop=""*STREET"")"	to Astor Place	*=notfound, to_stop=Astor Place
request	to *STOP	"inform(to_stop=""*STREET"")"	to Columbus Circle	from_stop=?
confirm-request	to *STOP	"inform(to_stop=""*STREET"")"	to Astor Place	confirm: to_stop=Astor Place; request: from_stop=?
confirm	to *STOP	"inform(to_stop=""*STREET"")"	to Astor Place	to_stop=Astor Place
reply	and the distance of the trip	request(distance)	and the distance of the trip	distance=5.6 miles
reply	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	direction=Central Park, vehicle=subway, line=G, departure_time=6:00pm, from_stop=Grand Central
apologize	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	*=notfound, departure_time_rel=0:30
request	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	from_stop=?, to_stop=?
confirm-request	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	what's the connect connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what's the connect connection in half an hour	departure_time_rel=0:30
reply	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at ten	direction=Bryant Park, line=D, departure_time=10:10pm, vehicle=subway, from_stop=Penn Station
apologize	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at eight	*=notfound, departure_time=8:00
request	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at five	from_stop=?, to_stop=?
confirm-request	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at six	confirm: departure_time=6:00; request: from_stop=?, to_stop=?
confirm	what's the connection at *NUMBER	"inform(departure_time=""*DEPARTURE_TIME"")"	what's the connection at six	departure_time=6:00
reply	what's the distance of the trip	request(distance)	what's the distance of the trip	distance=8.7 miles
reply	what's the duration of the trip	request(duration)	what's the duration of the trip	duration=56 minutes
reply	are there any connections	"inform(alternative=""dontcare"")"	are there any connections	vehicle=bus, line=M7, departure_time=1:07pm, from_stop=Columbus Circle, direction=Lincoln Center
apologize	are there any connections	"inform(alternative=""dontcare"")"	are there any connections	*=notfound, alternative=dontcare
confirm	are there any connections	"inform(alternative=""dontcare"")"	are there any connections	alternative=dontcare
reply	are there any transfers	request(num_transfers)	are there any transfers	num_transfers=0
reply	is there a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a connection at five pm	vehicle=subway, from_stop=Essex Street, departure_time=5:12pm, line=A, direction=Delancey Street
